Filt,Lambda,Resp
U,305.0,0.000
U,310.0,0.020
U,315.0,0.077
U,320.0,0.135
U,325.0,0.204
U,330.0,0.282
U,335.0,0.385
U,340.0,0.493
U,345.0,0.600
U,350.0,0.705
U,355.0,0.820
U,360.0,0.900
U,365.0,0.959
U,370.0,0.993
U,375.0,1.000
U,380.0,0.975
U,385.0,0.850
U,390.0,0.645
U,395.0,0.400
U,400.0,0.223
U,405.0,0.125
U,410.0,0.057
U,415.0,0.005
U,420.0,0.000
B1,360.0,0.000
B1,365.0,0.006
B1,370.0,0.023
B1,375.0,0.045
B1,380.0,0.106
B1,385.0,0.254
B1,390.0,0.492
B1,395.0,0.752
B1,400.0,0.881
B1,405.0,0.923
B1,410.0,0.955
B1,415.0,0.977
B1,420.0,0.990
B1,425.0,1.000
B1,430.0,1.000
B1,435.0,0.997
B1,440.0,0.984
B1,445.0,0.958
B1,450.0,0.916
B1,455.0,0.871
B1,460.0,0.820
B1,465.0,0.775
B1,470.0,0.723
B1,475.0,0.672
B1,480.0,0.617
B1,485.0,0.569
B1,490.0,0.511
B1,495.0,0.457
B1,500.0,0.402
B1,505.0,0.347
B1,510.0,0.299
B1,515.0,0.244
B1,520.0,0.199
B1,525.0,0.154
B1,530.0,0.113
B1,535.0,0.084
B1,540.0,0.051
B1,545.0,0.029
B1,550.0,0.010
B1,555.0,0.000
B2,360.0,0.000
B2,365.0,0.006
B2,370.0,0.030
B2,375.0,0.060
B2,380.0,0.134
B2,385.0,0.302
B2,390.0,0.567
B2,395.0,0.841
B2,400.0,0.959
B2,405.0,0.983
B2,410.0,0.996
B2,415.0,1.000
B2,420.0,0.996
B2,425.0,0.987
B2,430.0,0.974
B2,435.0,0.957
B2,440.0,0.931
B2,445.0,0.897
B2,450.0,0.849
B2,455.0,0.800
B2,460.0,0.748
B2,465.0,0.698
B2,470.0,0.648
B2,475.0,0.597
B2,480.0,0.545
B2,485.0,0.497
B2,490.0,0.447
B2,495.0,0.397
B2,500.0,0.345
B2,505.0,0.297
B2,510.0,0.252
B2,515.0,0.207
B2,520.0,0.166
B2,525.0,0.129
B2,530.0,0.095
B2,535.0,0.069
B2,540.0,0.043
B2,545.0,0.024
B2,550.0,0.009
B2,555.0,0.000
V,475.0,0.000
V,480.0,0.030
V,485.0,0.084
V,490.0,0.163
V,495.0,0.301
V,500.0,0.458
V,505.0,0.630
V,510.0,0.780
V,515.0,0.895
V,520.0,0.967
V,525.0,0.997
V,530.0,1.000
V,535.0,0.988
V,540.0,0.958
V,545.0,0.919
V,550.0,0.877
V,555.0,0.819
V,560.0,0.765
V,565.0,0.711
V,570.0,0.657
V,575.0,0.602
V,580.0,0.545
V,585.0,0.488
V,590.0,0.434
V,595.0,0.386
V,600.0,0.331
V,605.0,0.289
V,610.0,0.250
V,615.0,0.214
V,620.0,0.181
V,625.0,0.151
V,630.0,0.120
V,635.0,0.093
V,640.0,0.069
V,645.0,0.051
V,650.0,0.036
V,655.0,0.027
V,660.0,0.021
