Lam,logF03,logF04,logF05,logF06,logF07,logF08,logF09,logF10
101.2,-2.1050,-0.1970,0.5405,-2.3230,-2.0195,-1.4190,-0.9275,-0.4050
103.7,-2.1080,-0.1750,0.5635,-2.3200,-2.0015,-1.3980,-0.9055,-0.3830
106.2,-2.1320,-0.1840,0.5535,-2.3480,-2.0175,-1.4070,-0.9135,-0.3910
108.7,-2.1300,-0.1840,0.5535,-2.3540,-2.0205,-1.4090,-0.9145,-0.3920
111.2,-2.1010,-0.1810,0.5555,-2.3410,-2.0205,-1.4050,-0.9105,-0.3870
113.7,-2.1270,-0.1950,0.5425,-2.3630,-2.0335,-1.4180,-0.9235,-0.4000
116.2,-2.1570,-0.1990,0.5375,-2.3870,-2.0405,-1.4220,-0.9275,-0.4040
118.7,-2.2360,-0.2610,0.4765,-2.4480,-2.0985,-1.4840,-0.9895,-0.4660
121.0,-2.2940,-0.4020,0.3355,-2.5150,-2.2185,-1.6240,-1.1325,-0.6110
122.9,-2.2590,-0.2730,0.4645,-2.4570,-2.1065,-1.4960,-1.0025,-0.4790
125.4,-2.2320,-0.2460,0.4905,-2.4540,-2.0885,-1.4680,-0.9735,-0.4500
128.5,-2.1730,-0.2470,0.4885,-2.4270,-2.0895,-1.4670,-0.9715,-0.4480
131.2,-2.1800,-0.2960,0.4395,-2.4350,-2.1345,-1.5160,-1.0205,-0.4970
133.7,-2.1610,-0.2950,0.4405,-2.4190,-2.1335,-1.5130,-1.0175,-0.4940
136.2,-2.1790,-0.3250,0.4105,-2.4330,-2.1615,-1.5430,-1.0485,-0.5250
138.7,-2.1930,-0.3680,0.3665,-2.4520,-2.2015,-1.5850,-1.0895,-0.5660
141.0,-2.1960,-0.3710,0.3635,-2.4510,-2.2035,-1.5870,-1.0925,-0.5690
143.3,-2.1930,-0.3640,0.3705,-2.4440,-2.1955,-1.5800,-1.0845,-0.5610
145.7,-2.1960,-0.3770,0.3575,-2.4480,-2.2065,-1.5920,-1.0975,-0.5740
148.2,-2.2090,-0.4000,0.3335,-2.4600,-2.2265,-1.6150,-1.1205,-0.5970
150.7,-2.2170,-0.4390,0.2945,-2.4680,-2.2575,-1.6510,-1.1575,-0.6350
153.2,-2.2120,-0.4800,0.2525,-2.4600,-2.2615,-1.6780,-1.1895,-0.6690
155.7,-2.2670,-0.5480,0.1845,-2.5140,-2.3275,-1.7470,-1.2585,-0.7380
158.2,-2.2330,-0.5100,0.2225,-2.4780,-2.2825,-1.7050,-1.2185,-0.6980
160.8,-2.2240,-0.4990,0.2335,-2.4640,-2.2645,-1.6910,-1.2065,-0.6870
163.5,-2.2430,-0.5140,0.2185,-2.4750,-2.2735,-1.7050,-1.2215,-0.7020
166.3,-2.2680,-0.5300,0.2025,-2.4960,-2.2925,-1.7230,-1.2385,-0.7200
168.8,-2.1200,-0.5240,0.2045,-2.2950,-2.1125,-1.6430,-1.1985,-0.6980
171.2,-2.1210,-0.5520,0.1755,-2.2860,-2.1115,-1.6600,-1.2225,-0.7250
173.7,-2.0750,-0.5430,0.1825,-2.2270,-2.0585,-1.6310,-1.2045,-0.7120
176.2,-2.0680,-0.5520,0.1735,-2.2180,-2.0515,-1.6310,-1.2085,-0.7190
178.7,-2.0160,-0.5640,0.1585,-2.1480,-1.9935,-1.6090,-1.2055,-0.7250
181.5,-2.0810,-0.5990,0.1255,-2.2150,-2.0585,-1.6620,-1.2505,-0.7660
184.0,-2.0520,-0.6180,0.1045,-2.1840,-2.0345,-1.6570,-1.2575,-0.7790
186.2,-2.0100,-0.6220,0.0985,-2.1300,-1.9875,-1.6340,-1.2485,-0.7780
